Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,Onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,MA_battery,CT_battery,ME_battery,Total
t114,1297.3044688088294,-0.0,9448.30221915,-0.0,-0.0,5715.307694,1175.305444341171,-0.0,-0.0,17636.2198263
t115,1297.3044688088294,-0.0,9435.302219150002,-0.0,-0.0,5710.307694,1130.305444341171,-0.0,-0.0,17573.219826300003
t116,1297.3044688088294,-0.0,9356.30221915,-0.0,-0.0,5671.307693999999,852.3054443411706,-0.0,-0.0,17177.2198263
t117,1297.3044688088294,-0.0,9228.30221915,-0.0,-0.0,5610.307693999999,405.3054443411697,-0.0,-0.0,16541.2198263
t118,830.2748600376507,-0.0,9017.30221915,-0.0,-0.0,5510.307694,133.33505311234927,-0.0,-0.0,15491.219826300001
t119,-0.0,-0.0,8733.302219150002,-0.0,-0.0,5374.307694,0.0,-0.0,-0.0,14107.609913150001
t120,-0.0,-0.0,8489.30221915,-0.0,-0.0,5257.307694,0.0,-0.0,0.0,13746.609913150001
t121,-0.0,-0.0,8328.30221915,-0.0,-0.0,4809.338358268058,0.0,-0.0,0.0,13137.640577418058
t122,-0.0,-0.0,8241.30221915,-0.0,-0.0,4635.449407221884,0.0,0.0,0.0,12876.751626371884
t123,-0.0,-0.0,8196.30221915,-0.0,-0.0,3171.018313055967,0.0,0.0,0.0,11367.320532205968
t124,-0.0,-0.0,8185.302219150001,-0.0,-0.0,4410.578871599419,0.0,0.0,0.0,12595.881090749419
t125,-0.0,-0.0,8240.30221915,-0.0,-0.0,3348.0551948520556,0.0,0.0,0.0,11588.357414002056
t126,-0.0,-0.0,8435.302219150002,-0.0,-0.0,4136.592145080373,0.0,0.0,0.0,12571.894364230375
t127,-0.0,-0.0,8801.30221915,-0.0,-0.0,5407.307694,207.60991314999978,0.0,0.0,14416.219826300001
t128,-0.0,-0.0,9021.30221915,-0.0,-0.0,5512.307693999999,975.6099131500005,0.0,0.0,15509.2198263
t129,-0.0,416.7678378963278,9046.30221915,-0.0,-0.0,5523.307694,648.8420752536725,0.0,0.0,15635.219826300003
t130,-0.0,1197.3418138585603,9049.30221915,-0.0,-0.0,5525.307693999999,0.0,0.0,-0.0,15771.95172700856
t131,-0.0,2051.654771892382,9036.30221915,-0.0,-0.0,4474.956519518422,0.0,-0.0,-0.0,15562.913510560804
t132,-0.0,2525.865684220168,8989.30221915,-0.0,-0.0,3806.137368914002,0.0,-0.0,-0.0,15321.305272284171
t133,-0.0,2422.794068396345,8939.30221915,-0.0,-0.0,3706.7415875867214,0.0,-0.0,-0.0,15068.837875133066
t134,-0.0,1735.921561364861,8912.302219150002,-0.0,-0.0,5460.307694,0.0,-0.0,-0.0,16108.531474514864
t135,-0.0,1486.59417447087,8871.30221915,-0.0,-0.0,5440.307693999999,0.0,-0.0,-0.0,15798.20408762087
t136,28.48125462528791,811.5362004784798,8886.302219150002,-0.0,-0.0,5447.307693999999,0.0,-0.0,-0.0,15173.627368253769
t137,299.3751592752536,61.5170513414912,9057.30221915,-0.0,-0.0,5529.307694,744.7177025332547,-0.0,-0.0,15692.219826300001
t138,423.2717260155714,-0.0,9222.30221915,-0.0,-0.0,5608.307693999999,1259.338187134428,-0.0,-0.0,16513.2198263
t139,423.2717260155714,-0.0,9170.30221915,-0.0,-0.0,5583.307694,1074.3381871344275,-0.0,-0.0,16251.2198263
t140,423.2717260155714,-0.0,9076.302219150002,-0.0,-0.0,5538.307694,748.3381871344288,-0.0,-0.0,15786.219826300003
t141,344.8860223270746,-0.0,8952.30221915,-0.0,-0.0,5479.307693999999,391.72389082292506,-0.0,-0.0,15168.2198263
t142,169.6099131499995,-0.0,8791.30221915,-0.0,-0.0,5402.307693999999,0.0,-0.0,-0.0,14363.2198263
t143,-0.0,-0.0,8571.30221915,-0.0,-0.0,4684.00052397806,0.0,-0.0,-0.0,13255.30274312806
t144,0.0,-0.0,8344.30221915,-0.0,-0.0,3769.28019468066,0.0,0.0,-0.0,12113.58241383066
t145,-0.0,-0.0,8170.30221915,-0.0,-0.0,3060.1128185956763,0.0,0.0,-0.0,11230.415037745677
t146,-0.0,-0.0,8072.302219150002,-0.0,-0.0,2683.6619258915657,0.0,0.0,0.0,10755.964145041567
t147,0.0,-0.0,8019.302219150001,-0.0,-0.0,2683.6619258915657,0.0,0.0,0.0,10702.964145041567
t148,-0.0,-0.0,7999.302219150001,-0.0,-0.0,2683.6619258915657,0.0,0.0,0.0,10682.964145041567
t149,-0.0,-0.0,8019.302219150001,-0.0,-0.0,2683.6619258915657,0.0,0.0,0.0,10702.964145041567
