Time_Index,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,Onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,MA_battery,CT_battery,ME_battery
364,1,0,1,0.844062388,0,1,1,1,1
365,1,0,1,0.802231789,0,1,1,1,1
366,1,0,1,0.828511536,0,1,1,1,1
367,1,0,1,0.583996654,0,1,1,1,1
368,1,0,1,0.202603534,0,1,1,1,1
369,1,0.2391,1,0.058440641,0.2371,1,1,1,1
370,1,0.4586,1,0.001883788,0.4656,1,1,1,1
371,1,0.6179,1,0.003065184,0.6211,1,1,1,1
372,1,0.6974,1,0.071478568,0.6556,1,1,1,1
373,1,0.6672,1,0.195936367,0.6465,1,1,1,1
374,1,0.6136,1,0.439520001,0.6058,1,1,1,1
375,1,0.4943,1,0.688237429,0.435,1,1,1,1
376,1,0.2741,1,0.875738084,0.2901,1,1,1,1
377,1,0.0666,1,0.916852057,0.1376,1,1,1,1
378,1,0,1,1,0,1,1,1,1
379,1,0,1,1,0,1,1,1,1
380,1,0,1,0.981884241,0,1,1,1,1
381,1,0,1,0.482720077,0,1,1,1,1
382,1,0,1,0.994872808,0,1,1,1,1
383,1,0,1,0.993279934,0,1,1,1,1
384,1,0,1,0.962603092,0,1,1,1,1
385,1,0,1,0.851262867,0,1,1,1,1
386,1,0,1,0.733260453,0,1,1,1,1
387,1,0,1,0.889862716,0,1,1,1,1
388,1,0,1,0.981966197,0,1,1,1,1
389,1,0,1,0.963828266,0,1,1,1,1
390,1,0,1,0.802278817,0,1,1,1,1
391,1,0,1,0.617577553,0,1,1,1,1
392,1,0,1,0.460653722,0,1,1,1,1
393,1,0.063,1,0.38251406,0.0851,1,1,1,1
394,1,0.2298,1,0.3961761,0.3003,1,1,1,1
395,1,0.3955,1,0.371211141,0.4133,1,1,1,1
396,1,0.4576,1,0.407442391,0.3578,1,1,1,1
397,1,0.4251,1,0.229040965,0.355,1,1,1,1
398,1,0.397,1,0.238406986,0.307,1,1,1,1
399,1,0.2726,1,0.381467015,0.2953,1,1,1,1
400,1,0.148,1,0.481076956,0.1986,1,1,1,1
401,1,0.0133,1,0.554682076,0.0092,1,1,1,1
402,1,0,1,0.525467098,0,1,1,1,1
403,1,0,1,0.815117538,0,1,1,1,1
404,1,0,1,0.698978364,0,1,1,1,1
405,1,0,1,0.809930027,0,1,1,1,1
406,1,0,1,0.880454421,0,1,1,1,1
407,1,0,1,0.960390031,0,1,1,1,1
408,1,0,1,0.90731144,0,1,1,1,1
409,1,0,1,0.970664501,0,1,1,1,1
410,1,0,1,0.972734034,0,1,1,1,1
411,1,0,1,0.999877095,0,1,1,1,1
412,1,0,1,1,0,1,1,1,1
413,1,0,1,1,0,1,1,1,1
414,1,0,1,1,0,1,1,1,1
415,1,0,1,1,0,1,1,1,1
416,1,0,1,1,0,1,1,1,1
417,1,0.2194,1,0.999924064,0.1986,1,1,1,1
418,1,0.4257,1,0.998786271,0.4033,1,1,1,1
419,1,0.5872,1,1,0.5454,1,1,1,1
420,1,0.6481,1,1,0.5963,1,1,1,1
421,1,0.6592,1,1,0.6098,1,1,1,1
422,1,0.6547,1,1,0.6572,1,1,1,1
423,1,0.5823,1,1,0.6051,1,1,1,1
424,1,0.4386,1,1,0.4694,1,1,1,1
425,1,0.2089,1,1,0.2449,1,1,1,1
426,1,0,1,1,0,1,1,1,1
427,1,0,1,0.999886274,0,1,1,1,1
428,1,0,1,0.99157542,0,1,1,1,1
429,1,0,1,0.962742686,0,1,1,1,1
430,1,0,1,0.913824022,0,1,1,1,1
431,1,0,1,0.833752632,0,1,1,1,1
432,1,0,1,0.649850965,0,1,1,1,1
433,1,0,1,0.627161443,0,1,1,1,1
434,1,0,1,0.217612281,0,1,1,1,1
435,1,0,1,0.116163731,0,1,1,1,1
436,1,0,1,0.272952229,0,1,1,1,1
437,1,0,1,0.277390778,0,1,1,1,1
438,1,0,1,0.26416716,0,1,1,1,1
439,1,0,1,0.073716134,0,1,1,1,1
440,1,0,1,0.038241033,0,1,1,1,1
441,1,0.2198,1,0.097082593,0.2185,1,1,1,1
442,1,0.4112,1,0.001447127,0.3732,1,1,1,1
443,1,0.5551,1,5.90E-05,0.5366,1,1,1,1
444,1,0.6202,1,0.00026092,0.6392,1,1,1,1
445,1,0.6322,1,0.005408939,0.6719,1,1,1,1
446,1,0.6454,1,0.025882183,0.6925,1,1,1,1
447,1,0.582,1,0.125935793,0.5905,1,1,1,1
448,1,0.4182,1,0.18762584,0.3985,1,1,1,1
449,1,0.1694,1,0.175286353,0.1216,1,1,1,1
450,1,0,1,0.130735457,0,1,1,1,1
451,1,0,1,0.059012618,0,1,1,1,1
452,1,0,1,0.076137081,0,1,1,1,1
453,1,0,1,0.417927891,0,1,1,1,1
454,1,0,1,0.335010946,0,1,1,1,1
455,1,0,1,0.261711657,0,1,1,1,1
456,1,0,1,0.185985401,0,1,1,1,1
457,1,0,1,0.215645924,0,1,1,1,1
458,1,0,1,0.305431753,0,1,1,1,1
459,1,0,1,0.296855569,0,1,1,1,1
460,1,0,1,0.429687113,0,1,1,1,1
461,1,0,1,0.552138925,0,1,1,1,1
462,1,0,1,0.611982286,0,1,1,1,1
463,1,0,1,0.952477038,0,1,1,1,1
464,1,0,1,0.94997865,0,1,1,1,1
465,1,0.2238,1,0.960820317,0.2158,1,1,1,1
466,1,0.4608,1,0.916780055,0.458,1,1,1,1
467,1,0.6129,1,0.995527506,0.6197,1,1,1,1
468,1,0.681,1,1,0.7022,1,1,1,1
469,1,0.7075,1,0.706549644,0.7162,1,1,1,1
470,1,0.6971,1,0.844171405,0.7045,1,1,1,1
471,1,0.6128,1,0.786879778,0.626,1,1,1,1
472,1,0.4488,1,0.720500171,0.4726,1,1,1,1
473,1,0.217,1,0.447472394,0.2484,1,1,1,1
474,1,0,1,0.345706671,0,1,1,1,1
475,1,0,1,0.369809151,0,1,1,1,1
476,1,0,1,0.554297388,0,1,1,1,1
477,1,0,1,0.792255223,0,1,1,1,1
478,1,0,1,0.62724638,0,1,1,1,1
479,1,0,1,0.336070687,0,1,1,1,1
